timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-10-03T14:43:09.015341,1,42 22 95 68 45 91 6 90 20 6,42 95 6 90 42     ,0,0,1,4,0,1,4,
2025-10-03T14:43:44.500642,2,21 20 68 67 32 17 16 47 33 64,21 20 68 67 70 69    ,0,0,1,2,0,2,6,
2025-10-03T14:44:19.588245,3,22 17 10 49 67 22 45 92 22 68,22 17 10 49 22     ,0,0,1,1,0,3,7,
2025-10-03T14:44:48.244918,4,37 34 26 90 53 71 52 64 41 60,90 73 51 60 40     ,0,1,1,5,1,4,12,
2025-10-03T14:45:17.322593,5,82 72 60 52 6 91 91 17 61 81,6 91 91 18 47     ,0,1,1,5,2,5,17,
