timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-24T20:45:57.966983,1,38 72 88 63 36 60 6 25 40 35,38 32 6 7 72 69 23 78 38 56,1,0,1,6,6,6,6,
2025-09-24T20:47:23.099043,2,93 55 69 25 73 28 8 94 94 37,55 25 8 60 84 16 5 47 23 69,0,1,1,4,4,4,4,
2025-09-24T20:48:53.611456,3,46 73 25 67 9 75 66 8 30 53,69 8 7 25 37 67 98 23 54 83,1,1,1,6,6,6,6,
2025-09-24T20:49:55.553531,4,8 54 16 65 57 44 74 71 65 97,8 54 74 44 71 16 67 57 64 93,1,0,1,2,2,2,2,
2025-09-24T20:50:54.845851,5,32 33 43 85 35 13 81 43 77 8,8 77 31 32 33 76 12 35 75 81,1,1,1,4,4,4,4,
2025-09-24T20:52:21.417921,6,99 4 92 89 70 37 87 6 41 28,4 47 35 85 42 75 54 78 97 43,1,1,1,9,9,9,9,
2025-09-24T20:53:43.951604,7,70 93 60 12 4 2 58 10 44 38,4 12 54 44 71 35 64 83 34 67,1,1,1,7,7,7,7,
2025-09-24T20:55:12.371855,8,70 40 75 68 53 23 99 52 83 6,6 53 58 29 85 23 68 94 64 59,1,1,1,4,4,4,4,
2025-09-24T20:56:10.744449,9,15 17 42 36 33 81 65 71 79 65,15 17 44 54 73 86 33 95 99 34,1,0,1,7,7,7,7,
2025-09-24T20:57:17.897208,10,72 68 91 18 1 69 14 40 85 2,44 91 4 14 71 14 17 32 85 53,1,1,1,7,7,7,7,
