timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-24T21:08:01.006947,1,21 88 96 78 36 93 50 77 41 55,96 88 87 23 18 21 22 23 24 50,,1,1,5,1,1,5,
2025-09-24T21:09:03.172225,2,40 8 26 45 14 87 65 46 26 28,28 26 87 48 97 16 17 14 56 58,,1,1,6,1,2,11,
2025-09-24T21:09:48.777918,3,40 72 95 30 62 2 31 60 92 54,30 40 60 2 31 95 97 34 35 36,,1,1,4,2,3,15,
2025-09-24T21:10:18.568765,4,74 63 74 92 16 62 38 68 81 99,74 74 99 68 67 69 31 32 34 35,,0,1,6,3,4,21,
2025-09-24T21:10:54.985106,5,31 15 89 11 7 57 66 58 58 21,7 57 58 63 31 32 33 34 35 36,,1,1,6,4,5,27,
